Account Number,Financial Month,Date,Transaction No,Transaction Type,Trans Type Category,Transaction Note,Trans In Amount ,Trans Out Amount
7,23-Dec,01-Dec-23,46980801,SD,EFT,Not Available,400,0
7,23-Dec,08-Dec-23,46997807,SD,EFT,Not Available,400,0
7,23-Dec,15-Dec-23,47013444,SD,EFT,Not Available,400,0
7,23-Dec,22-Dec-23,47030043,SD,EFT,Not Available,400,0
7,23-Dec,22-Dec-23,47033716,1,COUNTER,Not Available,0,-600
7,23-Dec,29-Dec-23,47043363,SD,EFT,Not Available,400,0
10,23-Dec,05-Dec-23,46991883,1,COUNTER,Not Available,0,"-2,117.03"
10,23-Dec,05-Dec-23,46991885,1,COUNTER,Not Available,0,-500
10,23-Dec,22-Dec-23,47033693,1,COUNTER,Not Available,75,0
10,23-Dec,22-Dec-23,47033696,1,COUNTER,Not Available,0,-75
14,23-Dec,08-Dec-23,47000799,N,COUNTER,Not Available,0,"-1,600.00"
14,23-Dec,08-Dec-23,47000859,N,COUNTER,"Share transfer of €2,500 and member will pay €20 per week to clear loan before age 80 (AMG)","2,500.00","-2,500.00"
14,23-Dec,14-Dec-23,47013019,4,COUNTER,Not Available,20,0
14,23-Dec,21-Dec-23,47029848,4,COUNTER,Not Available,20,0
14,23-Dec,29-Dec-23,47046109,4,COUNTER,Not Available,20,0
20,23-Dec,06-Dec-23,46993529,N,COUNTER,Not Available,"1,100.00",0
33,23-Dec,01-Dec-23,46982272,SCR,EFT,Not Available,298.3,0
33,23-Dec,01-Dec-23,46984861,SDD,EFT,Not Available,0,-15
33,23-Dec,01-Dec-23,46984862,SDD,EFT,Not Available,0,-15
33,23-Dec,01-Dec-23,46985646,TFER,Not Available,Not Available,50,-100
33,23-Dec,02-Dec-23,46986527,MP04,POS,Not Available,0,-126.21
33,23-Dec,02-Dec-23,46986597,MP02,ATM TRANSACTIONS,Not Available,0,-100
33,23-Dec,05-Dec-23,46990346,SCR,EFT,Not Available,35.65,0
33,23-Dec,07-Dec-23,46994879,SCR,EFT,Not Available,274,0
33,23-Dec,08-Dec-23,46999195,SCR,EFT,Not Available,563.6,0
33,23-Dec,08-Dec-23,47002108,TFER,Not Available,Not Available,50,-100
33,23-Dec,11-Dec-23,47005059,MP02,ATM TRANSACTIONS,Not Available,0,-100
33,23-Dec,12-Dec-23,47008254,SDD,EFT,Not Available,0,-126
33,23-Dec,14-Dec-23,47010769,SCR,EFT,Not Available,137,0
33,23-Dec,15-Dec-23,47014856,SCR,EFT,Not Available,298.3,0
33,23-Dec,15-Dec-23,47017859,TFER,Not Available,Not Available,50,-100
33,23-Dec,21-Dec-23,47027180,SCR,EFT,Not Available,274,0
33,23-Dec,22-Dec-23,47031552,SCR,EFT,Not Available,596.6,0
33,23-Dec,22-Dec-23,47031634,SCR,EFT,Not Available,129.78,0
33,23-Dec,22-Dec-23,47034313,N,COUNTER,Not Available,0,"-8,374.00"
33,23-Dec,22-Dec-23,47034702,TFER,Not Available,Not Available,50,-100
33,23-Dec,23-Dec-23,47035799,MP02,ATM TRANSACTIONS,Not Available,0,-100
33,23-Dec,27-Dec-23,47040655,SDD,EFT,Not Available,0,-238.88
33,23-Dec,29-Dec-23,47047541,TFER,Not Available,Not Available,50,-100
42,23-Dec,05-Dec-23,46992185,1,COUNTER,Not Available,20,0
42,23-Dec,18-Dec-23,47022291,1,COUNTER,Not Available,20,0
42,23-Dec,29-Dec-23,47047085,1,COUNTER,Not Available,20,0
46,23-Dec,01-Dec-23,46980802,SD,EFT,Not Available,50,0
46,23-Dec,08-Dec-23,46997808,SD,EFT,Not Available,50,0
46,23-Dec,15-Dec-23,47013445,SD,EFT,Not Available,50,0
46,23-Dec,18-Dec-23,47022145,N,COUNTER,Not Available,0,-100
46,23-Dec,22-Dec-23,47030044,SD,EFT,Not Available,50,0
46,23-Dec,29-Dec-23,47043364,SD,EFT,Not Available,50,0
50,23-Dec,05-Dec-23,46992239,1,COUNTER,Not Available,0,"-3,000.00"
53,23-Dec,04-Dec-23,46987728,SD,EFT,Not Available,50,0
53,23-Dec,11-Dec-23,47004265,SD,EFT,Not Available,50,0
53,23-Dec,18-Dec-23,47020086,SD,EFT,Not Available,50,0
53,23-Dec,25-Dec-23,47037223,SD,EFT,Not Available,50,0
67,23-Dec,06-Dec-23,46993581,N,COUNTER,Not Available,0,-500
67,23-Dec,07-Dec-23,46994101,SD,EFT,Not Available,250,0
67,23-Dec,14-Dec-23,47010028,SD,EFT,Not Available,160,0
67,23-Dec,20-Dec-23,47026180,N,COUNTER,Not Available,0,"-1,800.00"
67,23-Dec,21-Dec-23,47026477,SD,EFT,Not Available,160,0
67,23-Dec,28-Dec-23,47040773,SD,EFT,Not Available,160,0
68,23-Dec,07-Dec-23,46996068,SCR,EFT,Not Available,83,0
68,23-Dec,07-Dec-23,46996114,SO,EFT,Not Available,0,-83
68,23-Dec,07-Dec-23,46996115,SO,EFT,Not Available,83,0
68,23-Dec,14-Dec-23,47012685,SCR,EFT,Not Available,83,0
68,23-Dec,14-Dec-23,47012711,SO,EFT,Not Available,0,-83
68,23-Dec,14-Dec-23,47012712,SO,EFT,Not Available,83,0
68,23-Dec,21-Dec-23,47029010,SCR,EFT,Not Available,83,0
68,23-Dec,21-Dec-23,47029122,SO,EFT,Not Available,0,-83
68,23-Dec,21-Dec-23,47029123,SO,EFT,Not Available,83,0
68,23-Dec,28-Dec-23,47042185,SCR,EFT,Not Available,83,0
68,23-Dec,28-Dec-23,47042327,SO,EFT,Not Available,0,-83
68,23-Dec,28-Dec-23,47042328,SO,EFT,Not Available,83,0
76,23-Dec,18-Dec-23,47022434,1,COUNTER,Not Available,380,0
105,23-Dec,11-Dec-23,47004266,SD,EFT,Not Available,150,0
114,23-Dec,12-Dec-23,47008275,4,COUNTER,Not Available,150,0
114,23-Dec,21-Dec-23,47028899,0,COUNTER,Not Available,130,0
127,23-Dec,14-Dec-23,47012301,SCR,EFT,Not Available,50,0
127,23-Dec,14-Dec-23,47012480,SO,EFT,Not Available,0,-50
127,23-Dec,14-Dec-23,47012481,SO,EFT,Not Available,50,0
127,23-Dec,28-Dec-23,47042704,SCR,EFT,Not Available,50,0
127,23-Dec,28-Dec-23,47042895,SO,EFT,Not Available,0,-50
127,23-Dec,28-Dec-23,47042896,SO,EFT,Not Available,50,0
141,23-Dec,04-Dec-23,46988086,SCR,EFT,Not Available,20,0
141,23-Dec,04-Dec-23,46988292,SO,EFT,Not Available,0,-20
141,23-Dec,04-Dec-23,46988293,SO,EFT,Not Available,20,0
141,23-Dec,11-Dec-23,47004602,SCR,EFT,Not Available,20,0
141,23-Dec,11-Dec-23,47004718,SO,EFT,Not Available,0,-20
141,23-Dec,11-Dec-23,47004719,SO,EFT,Not Available,20,0
141,23-Dec,18-Dec-23,47020384,SCR,EFT,Not Available,20,0
141,23-Dec,18-Dec-23,47020445,SO,EFT,Not Available,0,-20
141,23-Dec,18-Dec-23,47020446,SO,EFT,Not Available,20,0
141,23-Dec,28-Dec-23,47041461,SCR,EFT,Not Available,20,0
141,23-Dec,28-Dec-23,47041499,SO,EFT,Not Available,0,-20
141,23-Dec,28-Dec-23,47041500,SO,EFT,Not Available,20,0
147,23-Dec,01-Dec-23,46984312,N,COUNTER,Not Available,0,-200
147,23-Dec,15-Dec-23,47016828,N,COUNTER,Not Available,70,0
147,23-Dec,15-Dec-23,47016831,N,COUNTER,Not Available,0,-160
147,23-Dec,29-Dec-23,47046995,N,COUNTER,Not Available,26,0
147,23-Dec,29-Dec-23,47046996,1,COUNTER,Not Available,44,0
147,23-Dec,29-Dec-23,47046998,N,COUNTER,Not Available,20,0
147,23-Dec,29-Dec-23,47046999,N,COUNTER,Not Available,20,0
150,23-Dec,01-Dec-23,46980803,SD,EFT,Not Available,25,0
150,23-Dec,08-Dec-23,46997809,SD,EFT,Not Available,25,0
150,23-Dec,15-Dec-23,47013446,SD,EFT,Not Available,25,0
150,23-Dec,22-Dec-23,47030045,SD,EFT,Not Available,25,0
150,23-Dec,29-Dec-23,47043365,SD,EFT,Not Available,25,0
163,23-Dec,04-Dec-23,46989689,DCT,Not Available,Not Available,80,0
163,23-Dec,11-Dec-23,47005969,DCT,Not Available,Not Available,80,0
163,23-Dec,13-Dec-23,47009536,N,COUNTER,Not Available,"1,100.00",0
163,23-Dec,13-Dec-23,47009539,N,COUNTER,Not Available,0,"-1,000.00"
163,23-Dec,20-Dec-23,47025969,DCT,Not Available,Not Available,80,0
163,23-Dec,29-Dec-23,47046374,DCT,Not Available,Not Available,80,0
165,23-Dec,08-Dec-23,46997810,SD,EFT,Not Available,300,0
165,23-Dec,22-Dec-23,47030046,SD,EFT,Not Available,300,0
172,23-Dec,14-Dec-23,47012170,1,COUNTER,Not Available,0,-300
178,23-Dec,01-Dec-23,46984369,SCR,EFT,Not Available,30,0
178,23-Dec,01-Dec-23,46984559,SO,EFT,Not Available,0,-30
178,23-Dec,01-Dec-23,46984560,SO,EFT,Not Available,30,0
178,23-Dec,08-Dec-23,47001087,SCR,EFT,Not Available,80,0
178,23-Dec,08-Dec-23,47001340,SO,EFT,Not Available,0,-80
178,23-Dec,08-Dec-23,47001341,SO,EFT,Not Available,80,0
178,23-Dec,15-Dec-23,47017005,SCR,EFT,Not Available,40,0
178,23-Dec,15-Dec-23,47017302,SO,EFT,Not Available,0,-40
178,23-Dec,15-Dec-23,47017303,SO,EFT,Not Available,40,0
178,23-Dec,22-Dec-23,47033829,SCR,EFT,Not Available,60,0
178,23-Dec,22-Dec-23,47033973,SO,EFT,Not Available,0,-60
178,23-Dec,22-Dec-23,47033974,SO,EFT,Not Available,60,0
199,23-Dec,11-Dec-23,47005198,WFER,WEB,Not Available,0,-50
199,23-Dec,11-Dec-23,47006432,WFER,WEB,Not Available,0,"-2,060.00"
202,23-Dec,07-Dec-23,46997531,1,COUNTER,Not Available,10,0
202,23-Dec,07-Dec-23,46997532,N,COUNTER,Not Available,50,0
202,23-Dec,15-Dec-23,47017701,N,COUNTER,Not Available,50,0
202,23-Dec,15-Dec-23,47017702,1,COUNTER,Not Available,10,0
202,23-Dec,21-Dec-23,47028756,1,COUNTER,Not Available,10,0
202,23-Dec,21-Dec-23,47028758,N,COUNTER,Not Available,50,0
203,23-Dec,01-Dec-23,46982227,WBDB,WEB,Not Available,80,0
203,23-Dec,05-Dec-23,46992107,WBDB,WEB,Not Available,120,0
203,23-Dec,11-Dec-23,47006433,WFER,WEB,Not Available,0,-300
203,23-Dec,14-Dec-23,47012640,WFER,WEB,Not Available,0,-180
215,23-Dec,01-Dec-23,46985314,1,COUNTER,Not Available,25,0
215,23-Dec,08-Dec-23,47001925,1,COUNTER,Not Available,25,0
215,23-Dec,15-Dec-23,47017715,1,COUNTER,Not Available,25,0
215,23-Dec,22-Dec-23,47034562,1,COUNTER,Not Available,25,0
215,23-Dec,29-Dec-23,47047460,1,COUNTER,Not Available,25,0
229,23-Dec,13-Dec-23,47009465,1,COUNTER,Not Available,50,0
229,23-Dec,18-Dec-23,47022307,1,COUNTER,Not Available,30,0
230,23-Dec,01-Dec-23,46982283,SCR,EFT,Not Available,46.57,0
230,23-Dec,01-Dec-23,46982314,SCR,EFT,Not Available,522.8,0
230,23-Dec,01-Dec-23,46983101,MP04,POS,Not Available,0,-98.99
230,23-Dec,01-Dec-23,46983906,MP04,POS,Not Available,0,-108.58
230,23-Dec,01-Dec-23,46983972,MP02,ATM TRANSACTIONS,Not Available,0,-200
230,23-Dec,01-Dec-23,46983989,MP02,ATM TRANSACTIONS,Not Available,0,-200
230,23-Dec,01-Dec-23,46983990,MP02,ATM TRANSACTIONS,Not Available,0,-200
230,23-Dec,02-Dec-23,46986155,MP04,POS,Not Available,0,-386
230,23-Dec,05-Dec-23,46990925,MP03,POS,Not Available,0,-5.39
230,23-Dec,07-Dec-23,46995530,MP02,ATM TRANSACTIONS,Not Available,0,-200
230,23-Dec,07-Dec-23,46995531,MP02,ATM TRANSACTIONS,Not Available,0,-100
230,23-Dec,07-Dec-23,46995533,MP02,ATM TRANSACTIONS,Not Available,0,-100
230,23-Dec,08-Dec-23,46999239,SCR,EFT,Not Available,610.1,0
230,23-Dec,11-Dec-23,47005713,MP02,ATM TRANSACTIONS,Not Available,0,-200
230,23-Dec,12-Dec-23,47007685,MP03,POS,Not Available,0,-13.8
230,23-Dec,15-Dec-23,47014893,SCR,EFT,Not Available,322.8,0
230,23-Dec,15-Dec-23,47016356,MP03,POS,Not Available,0,-11.05
230,23-Dec,15-Dec-23,47016508,MP04,POS,Not Available,0,-16.53
230,23-Dec,19-Dec-23,47023200,MP03,POS,Not Available,0,-1.5
230,23-Dec,19-Dec-23,47023209,MP03,POS,Not Available,0,-15
230,23-Dec,19-Dec-23,47023355,MP04,POS,Not Available,0,-51.5
230,23-Dec,19-Dec-23,47023778,MP04,POS,Not Available,0,-100
230,23-Dec,21-Dec-23,47027928,MP04,POS,Not Available,0,-83.9
230,23-Dec,22-Dec-23,47031619,SCR,EFT,Not Available,645.6,0
230,23-Dec,22-Dec-23,47031758,SCR,EFT,Not Available,224.47,0
230,23-Dec,22-Dec-23,47032613,MP02,ATM TRANSACTIONS,Not Available,0,-300
230,23-Dec,22-Dec-23,47033457,MP03,POS,Not Available,0,-7
230,23-Dec,23-Dec-23,47034960,MP04,POS,Not Available,0,-15
230,23-Dec,23-Dec-23,47035003,MP03,POS,Not Available,0,-1.53
230,23-Dec,23-Dec-23,47035720,MP03,POS,Not Available,0,-7
230,23-Dec,23-Dec-23,47035901,DBRF,MISC,Not Available,32,0
230,23-Dec,29-Dec-23,47044880,SCR,EFT,Not Available,46.58,0
230,23-Dec,30-Dec-23,47048151,MP03,POS,Not Available,0,-22.97
230,23-Dec,30-Dec-23,47048244,MP02,ATM TRANSACTIONS,Not Available,0,-200
230,23-Dec,30-Dec-23,47048254,MP02,ATM TRANSACTIONS,Not Available,0,-50
240,23-Dec,01-Dec-23,46980804,SD,EFT,Not Available,60,0
240,23-Dec,01-Dec-23,46984329,1,COUNTER,Not Available,0,"-1,500.00"
240,23-Dec,08-Dec-23,46997811,SD,EFT,Not Available,60,0
240,23-Dec,15-Dec-23,47013447,SD,EFT,Not Available,60,0
240,23-Dec,22-Dec-23,47030047,SD,EFT,Not Available,60,0
240,23-Dec,29-Dec-23,47043366,SD,EFT,Not Available,60,0
241,23-Dec,14-Dec-23,47012088,DCT,Not Available,Not Available,110,0
241,23-Dec,14-Dec-23,47013113,2,Not Available,Not Available,0,-600
241,23-Dec,29-Dec-23,47045989,DCT,Not Available,Not Available,110,0
244,23-Dec,01-Dec-23,46984996,0,COUNTER,Not Available,130,0
244,23-Dec,15-Dec-23,47017713,0,COUNTER,Not Available,130,0
244,23-Dec,29-Dec-23,47047000,0,COUNTER,Not Available,130,0
246,23-Dec,05-Dec-23,46992082,1,COUNTER,Not Available,20,0
246,23-Dec,12-Dec-23,47008019,1,COUNTER,Not Available,20,0
246,23-Dec,19-Dec-23,47024199,1,COUNTER,Not Available,20,0
246,23-Dec,29-Dec-23,47046436,1,COUNTER,Not Available,20,0
254,23-Dec,14-Dec-23,47013188,1,COUNTER,Not Available,5,0
259,23-Dec,01-Dec-23,46980805,SD,EFT,Not Available,50,0
259,23-Dec,08-Dec-23,46997812,SD,EFT,Not Available,50,0
259,23-Dec,15-Dec-23,47013448,SD,EFT,Not Available,50,0
259,23-Dec,22-Dec-23,47030048,SD,EFT,Not Available,50,0
259,23-Dec,29-Dec-23,47043367,SD,EFT,Not Available,50,0
261,23-Dec,07-Dec-23,46994762,SCR,EFT,Not Available,35,0
261,23-Dec,07-Dec-23,46995045,SO,EFT,Not Available,0,-35
261,23-Dec,07-Dec-23,46995046,SO,EFT,Not Available,35,0
261,23-Dec,14-Dec-23,47010710,SCR,EFT,Not Available,35,0
261,23-Dec,14-Dec-23,47011007,SO,EFT,Not Available,0,-35
261,23-Dec,14-Dec-23,47011008,SO,EFT,Not Available,35,0
261,23-Dec,21-Dec-23,47027187,SCR,EFT,Not Available,35,0
261,23-Dec,21-Dec-23,47027623,SO,EFT,Not Available,0,-35
261,23-Dec,21-Dec-23,47027624,SO,EFT,Not Available,35,0
261,23-Dec,22-Dec-23,47031461,SCR,EFT,Not Available,35,0
261,23-Dec,22-Dec-23,47031883,SO,EFT,Not Available,0,-35
261,23-Dec,22-Dec-23,47031884,SO,EFT,Not Available,35,0
262,23-Dec,05-Dec-23,46992220,N,COUNTER,Not Available,10,0
262,23-Dec,05-Dec-23,46992229,0,COUNTER,Not Available,67,0
262,23-Dec,05-Dec-23,46992231,N,COUNTER,Not Available,10,0
262,23-Dec,12-Dec-23,47008346,0,COUNTER,Not Available,67,0
262,23-Dec,12-Dec-23,47008347,N,COUNTER,Not Available,10,0
262,23-Dec,12-Dec-23,47008351,N,COUNTER,Not Available,10,0
262,23-Dec,19-Dec-23,47024339,N,COUNTER,Not Available,10,0
262,23-Dec,19-Dec-23,47024340,0,COUNTER,Not Available,67,0
262,23-Dec,19-Dec-23,47024342,N,COUNTER,Not Available,10,0
262,23-Dec,29-Dec-23,47047323,N,COUNTER,Not Available,10,0
262,23-Dec,29-Dec-23,47047327,0,COUNTER,Not Available,67,0
262,23-Dec,29-Dec-23,47047330,N,COUNTER,Not Available,10,0
273,23-Dec,18-Dec-23,47022281,1,COUNTER,Not Available,0,"-1,000.00"
275,23-Dec,01-Dec-23,46984402,SCR,EFT,Not Available,40,0
275,23-Dec,01-Dec-23,46984737,SO,EFT,Not Available,0,-40
275,23-Dec,01-Dec-23,46984738,SO,EFT,Not Available,40,0
275,23-Dec,04-Dec-23,46989205,1,COUNTER,Not Available,0,-500
275,23-Dec,15-Dec-23,47016993,SCR,EFT,Not Available,40,0
275,23-Dec,15-Dec-23,47017278,SO,EFT,Not Available,0,-40
275,23-Dec,15-Dec-23,47017279,SO,EFT,Not Available,40,0
275,23-Dec,29-Dec-23,47046568,SCR,EFT,Not Available,40,0
275,23-Dec,29-Dec-23,47046794,SO,EFT,Not Available,0,-40
275,23-Dec,29-Dec-23,47046795,SO,EFT,Not Available,40,0
304,23-Dec,01-Dec-23,46980806,SD,EFT,Not Available,40,0
304,23-Dec,15-Dec-23,47013449,SD,EFT,Not Available,40,0
304,23-Dec,29-Dec-23,47043368,SD,EFT,Not Available,40,0
319,23-Dec,18-Dec-23,47022387,SOM,COUNTER,Not Available,37.44,0
323,23-Dec,01-Dec-23,46985243,1,COUNTER,Not Available,350,0
328,23-Dec,01-Dec-23,46985150,N,COUNTER,Not Available,100,0
328,23-Dec,08-Dec-23,47000345,N,COUNTER,Not Available,100,0
328,23-Dec,22-Dec-23,47032804,N,COUNTER,Not Available,100,0
336,23-Dec,19-Dec-23,47022547,SD,EFT,Not Available,20,0
339,23-Dec,11-Dec-23,47005934,0,COUNTER,Not Available,105,0
339,23-Dec,14-Dec-23,47012059,N,COUNTER,Not Available,0,-100
339,23-Dec,14-Dec-23,47012074,0,COUNTER,Not Available,55,0
339,23-Dec,18-Dec-23,47022286,2,Not Available,Not Available,0,-500
339,23-Dec,29-Dec-23,47047400,4,COUNTER,Not Available,100,0
345,23-Dec,11-Dec-23,47005110,SCR,EFT,Not Available,385,0
345,23-Dec,11-Dec-23,47005159,SO,EFT,Not Available,0,-385
345,23-Dec,11-Dec-23,47005160,SO,EFT,Not Available,385,0
352,23-Dec,11-Dec-23,47006065,SCR,EFT,Not Available,80,0
352,23-Dec,11-Dec-23,47006154,SO,EFT,Not Available,0,-80
352,23-Dec,11-Dec-23,47006155,SO,EFT,Not Available,80,0
361,23-Dec,18-Dec-23,47021791,N,COUNTER,Not Available,30,0
361,23-Dec,18-Dec-23,47021798,1,COUNTER,Not Available,20,0
361,23-Dec,18-Dec-23,47021802,N,COUNTER,Not Available,0,-150
368,23-Dec,02-Dec-23,46985925,MP03,POS,Not Available,0,-2.22
368,23-Dec,03-Dec-23,46987684,WIFR,WEB,Not Available,18,-18
368,23-Dec,07-Dec-23,46996714,1,COUNTER,Not Available,25,0
368,23-Dec,09-Dec-23,47002293,MP03,POS,Not Available,0,-9.45
368,23-Dec,09-Dec-23,47002303,MP03,POS,Not Available,0,-1.49
368,23-Dec,09-Dec-23,47002325,MP03,POS,Not Available,0,-2.29
368,23-Dec,09-Dec-23,47003307,WIFR,WEB,Not Available,25,-25
368,23-Dec,11-Dec-23,47005045,MP04,POS,Not Available,0,-17.9
368,23-Dec,14-Dec-23,47011544,MP03,POS,Not Available,0,-9.3
368,23-Dec,14-Dec-23,47012113,1,COUNTER,Not Available,25,0
368,23-Dec,20-Dec-23,47026420,WIFR,WEB,Not Available,25,-25
368,23-Dec,21-Dec-23,47029713,1,COUNTER,Not Available,25,0
368,23-Dec,21-Dec-23,47029945,WIFR,WEB,Not Available,25,-25
368,23-Dec,23-Dec-23,47035997,WIFR,WEB,Not Available,50,-50
368,23-Dec,24-Dec-23,47036939,MP04,POS,Not Available,0,-54.5
368,23-Dec,25-Dec-23,47037924,MP04,POS,Not Available,0,-32.7
368,23-Dec,27-Dec-23,47040469,WIFR,WEB,Not Available,30,-30
368,23-Dec,29-Dec-23,47045676,MP03,POS,Not Available,0,-30.95
368,23-Dec,29-Dec-23,47045689,MP03,POS,Not Available,0,-3.77
368,23-Dec,31-Dec-23,47048514,MP03,POS,Not Available,0,-14.96
373,23-Dec,05-Dec-23,46992183,1,COUNTER,Not Available,225,0
373,23-Dec,07-Dec-23,46997312,1,COUNTER,Not Available,"1,000.00",0
373,23-Dec,07-Dec-23,46997315,1,COUNTER,member 373/t bought 1000usd for 975.94 euro - lob 07/12/23,0,-975.94
374,23-Dec,13-Dec-23,47009765,1,COUNTER,Not Available,700,0
378,23-Dec,19-Dec-23,47024279,1,COUNTER,Not Available,40,0
378,23-Dec,19-Dec-23,47024280,N,COUNTER,Not Available,40,0
380,23-Dec,19-Dec-23,47024011,1,COUNTER,Not Available,15,0
386,23-Dec,16-Dec-23,47017952,SD,EFT,Not Available,100,0
387,23-Dec,08-Dec-23,47000885,1,COUNTER,Not Available,700,0
389,23-Dec,01-Dec-23,46980807,SD,EFT,Not Available,100,0
389,23-Dec,08-Dec-23,46997813,SD,EFT,Not Available,100,0
389,23-Dec,15-Dec-23,47013450,SD,EFT,Not Available,100,0
389,23-Dec,22-Dec-23,47030049,SD,EFT,Not Available,100,0
389,23-Dec,29-Dec-23,47043369,SD,EFT,Not Available,100,0
395,23-Dec,07-Dec-23,46996901,0,COUNTER,Not Available,120,0
395,23-Dec,22-Dec-23,47033544,0,COUNTER,Not Available,220,0
395,23-Dec,29-Dec-23,47046451,4,COUNTER,Not Available,100,0
406,23-Dec,06-Dec-23,46993518,4,COUNTER,Not Available,"1,500.00",0
406,23-Dec,08-Dec-23,47000788,0,COUNTER,Not Available,230,0
406,23-Dec,14-Dec-23,47010029,SD,EFT,Not Available,150,0
406,23-Dec,15-Dec-23,47016866,S2L,Not Available,Not Available,516.92,-516.92
406,23-Dec,15-Dec-23,47016869,1,COUNTER,Not Available,0,-31
408,23-Dec,01-Dec-23,46984497,SCR,EFT,Not Available,150,0
408,23-Dec,01-Dec-23,46984555,SO,EFT,Not Available,0,-150
408,23-Dec,01-Dec-23,46984556,SO,EFT,Not Available,150,0
412,23-Dec,18-Dec-23,47021680,1,COUNTER,SELLING 4850 AUS DOLLARS = €3141.60 FOR ACC. 412RR,0,"-3,141.60"
415,23-Dec,04-Dec-23,46989053,N,COUNTER,Not Available,10,0
415,23-Dec,04-Dec-23,46989056,N,COUNTER,Not Available,30,0
415,23-Dec,11-Dec-23,47005460,N,COUNTER,Not Available,30,0
415,23-Dec,11-Dec-23,47005490,N,COUNTER,Not Available,10,0
415,23-Dec,18-Dec-23,47021494,N,COUNTER,Not Available,30,0
415,23-Dec,18-Dec-23,47021500,N,COUNTER,Not Available,10,0
424,23-Dec,08-Dec-23,46997814,SD,EFT,Not Available,125,0
424,23-Dec,22-Dec-23,47030050,SD,EFT,Not Available,125,0
426,23-Dec,01-Dec-23,46980808,SD,EFT,Not Available,10,0
426,23-Dec,08-Dec-23,46997815,SD,EFT,Not Available,10,0
426,23-Dec,15-Dec-23,47013451,SD,EFT,Not Available,10,0
426,23-Dec,22-Dec-23,47030051,SD,EFT,Not Available,10,0
426,23-Dec,29-Dec-23,47043370,SD,EFT,Not Available,10,0
427,23-Dec,04-Dec-23,46988066,SCR,EFT,Not Available,200,0
427,23-Dec,04-Dec-23,46988188,SO,EFT,Not Available,0,-200
427,23-Dec,04-Dec-23,46988189,SO,EFT,Not Available,200,0
430,23-Dec,01-Dec-23,46980809,SD,EFT,Not Available,90,0
430,23-Dec,08-Dec-23,46997816,SD,EFT,Not Available,90,0
430,23-Dec,15-Dec-23,47013452,SD,EFT,Not Available,90,0
430,23-Dec,22-Dec-23,47030052,SD,EFT,Not Available,90,0
430,23-Dec,29-Dec-23,47043371,SD,EFT,Not Available,90,0
432,23-Dec,07-Dec-23,46994825,SCR,EFT,Not Available,10,0
432,23-Dec,07-Dec-23,46995269,SO,EFT,Not Available,0,-10
432,23-Dec,07-Dec-23,46995270,SO,EFT,Not Available,10,0
432,23-Dec,14-Dec-23,47010727,SCR,EFT,Not Available,10,0
432,23-Dec,14-Dec-23,47011125,SO,EFT,Not Available,0,-10
432,23-Dec,14-Dec-23,47011126,SO,EFT,Not Available,10,0
432,23-Dec,18-Dec-23,47021215,1,COUNTER,Not Available,0,-100
432,23-Dec,21-Dec-23,47027361,SCR,EFT,Not Available,10,0
432,23-Dec,21-Dec-23,47027375,SO,EFT,Not Available,0,-10
432,23-Dec,21-Dec-23,47027376,SO,EFT,Not Available,10,0
432,23-Dec,22-Dec-23,47031554,SCR,EFT,Not Available,10,0
432,23-Dec,22-Dec-23,47032039,SO,EFT,Not Available,0,-10
432,23-Dec,22-Dec-23,47032040,SO,EFT,Not Available,10,0
433,23-Dec,11-Dec-23,47005757,DCT,Not Available,Not Available,50,0
439,23-Dec,07-Dec-23,46997263,0,COUNTER,Not Available,50,0
439,23-Dec,07-Dec-23,46997283,N,COUNTER,Not Available,30.87,0
439,23-Dec,14-Dec-23,47012017,0,COUNTER,Not Available,100,0
439,23-Dec,14-Dec-23,47012018,N,COUNTER,Not Available,10,0
439,23-Dec,29-Dec-23,47047003,N,COUNTER,Not Available,40,0
439,23-Dec,29-Dec-23,47047005,0,COUNTER,Not Available,50,0
440,23-Dec,20-Dec-23,47026148,1,COUNTER,member signed paper form of w/d on day & set to imaging tray - 20/12/23 - joh,0,-150
443,23-Dec,01-Dec-23,46980810,SD,EFT,Not Available,100,0
443,23-Dec,08-Dec-23,46997817,SD,EFT,Not Available,100,0
443,23-Dec,15-Dec-23,47013453,SD,EFT,Not Available,100,0
443,23-Dec,22-Dec-23,47030053,SD,EFT,Not Available,100,0
443,23-Dec,29-Dec-23,47043372,SD,EFT,Not Available,100,0
445,23-Dec,05-Dec-23,46992101,0,COUNTER,Not Available,80,0
445,23-Dec,12-Dec-23,47008112,0,COUNTER,Not Available,80,0
445,23-Dec,12-Dec-23,47008114,N,COUNTER,Not Available,20,0
445,23-Dec,19-Dec-23,47023968,0,COUNTER,Not Available,80,0
445,23-Dec,29-Dec-23,47046077,0,COUNTER,Not Available,80,0
445,23-Dec,29-Dec-23,47046078,N,COUNTER,Not Available,20,0
463,23-Dec,11-Dec-23,47004267,SD,EFT,Not Available,150,0
467,23-Dec,05-Dec-23,46992318,ADJU,Not Available,Lodgement incorrectly made to account 467 should have been 8453.Member to be contacted and informed of error.,0,-200
469,23-Dec,06-Dec-23,46992403,SD,EFT,Not Available,40,0
470,23-Dec,01-Dec-23,46980811,SD,EFT,Not Available,75,0
470,23-Dec,01-Dec-23,46985121,1,COUNTER,Not Available,0,-300
470,23-Dec,08-Dec-23,46997818,SD,EFT,Not Available,75,0
